TransactionID,Items
1,"Kindle, Cable, Stand, Smartwatch, Headset"
2,"Fire, Kindle, Echo, Charger, Speaker"
3,"Smartwatch, Stand, Cable, Charger, Fire"
4,"Echo, Kindle, Fire, Smartwatch, Cable"
5,"Laptop, Charger, Smartwatch, Headset"
6,"Kindle, Cable, Speaker, Echo, Smartwatch"
7,"Stand, Fire, Speaker, Charger"
8,"Kindle, Headset, Cable, Echo"
9,"Laptop, Speaker, Echo, Fire, Smartwatch"
10,"Kindle, Charger, Headset, Smartwatch, Cable"
11,"Fire, Smartwatch, Speaker, Stand"
12,"Kindle, Headset, Stand, Cable"
13,"Smartwatch, Echo, Fire, Cable"
14,"Kindle, Charger, Echo, Smartwatch"
15,"Speaker, Laptop, Cable, Fire"
16,"Echo, Kindle, Headset, Charger"
17,"Smartwatch, Stand, Speaker, Echo"
18,"Fire, Cable, Charger, Smartwatch"
19,"Laptop, Kindle, Headset, Cable"
20,"Echo, Speaker, Stand, Smartwatch"
21,"Cable, Charger, Fire, Smartwatch"
22,"Headset, Kindle, Laptop, Speaker"
23,"Fire, Echo, Charger, Cable"
24,"Kindle, Echo, Smartwatch, Speaker"
25,"Stand, Charger, Smartwatch, Fire"